Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
28/01/94,27.607747,27.66173869,27.57175255,27.57175255,356500,28,4,4,1,1994
31/01/94,27.67973775,27.82371558,27.64374329,27.76972389,313800,31,0,5,1,1994
01/02/94,27.73374255,27.73374255,27.58976465,27.62575912,303600,1,1,5,2,1994
02/02/94,27.71575224,27.80573845,27.697755,27.80573845,307600,2,2,5,2,1994
03/02/94,27.75174704,27.75174704,27.58977186,27.67975807,466100,3,3,5,2,1994
04/02/94,27.67974798,27.71574245,27.04984474,27.04984474,1403200,4,4,5,2,1994
07/02/94,26.97785932,27.24781788,26.97785932,27.17582893,516400,7,0,6,2,1994
08/02/94,27.22982306,27.22982306,27.08584515,27.19382858,188200,8,1,6,2,1994
09/02/94,27.21182693,27.31981037,27.17583245,27.30181313,144600,9,2,6,2,1994
10/02/94,27.28381508,27.30181232,27.06784821,27.06784821,883900,10,3,6,2,1994
11/02/94,27.08584224,27.22982014,26.95986158,27.15783119,519400,11,4,6,2,1994
14/02/94,27.10384239,27.28381478,27.06784791,27.19382858,2742100,14,0,7,2,1994
15/02/94,27.24782431,27.35580776,27.21182982,27.33781052,374700,15,1,7,2,1994
16/02/94,27.3737873,27.3737873,27.26580392,27.31979561,287600,16,2,7,2,1994
17/02/94,27.44578699,27.46378423,27.08584224,27.15783119,342400,17,3,7,2,1994
18/02/94,27.17584882,27.19384607,26.92388731,26.99587631,313300,18,4,7,2,1994
22/02/94,27.06784233,27.26581192,27.06784233,27.26581192,154500,22,1,8,2,1994
23/02/94,27.30181202,27.31980926,27.10384239,27.19382858,391700,23,2,8,2,1994
24/02/94,27.10383994,27.10383994,26.81588414,26.83388138,770800,24,3,8,2,1994
25/02/94,26.86986606,26.95985222,26.81587437,26.95985222,531300,25,4,8,2,1994
28/02/94,27.03184114,27.10383007,26.95985222,26.95985222,333000,28,0,9,2,1994
01/03/94,26.95986638,27.0138581,26.70790501,26.85188293,423600,1,1,9,3,1994
02/03/94,26.50993635,26.88787842,26.43794739,26.88787842,581500,2,2,9,3,1994
03/03/94,26.85186665,26.85186665,26.74388327,26.81587219,223200,3,3,9,3,1994
04/03/94,26.81588945,26.95986738,26.72590325,26.88787842,595800,4,4,9,3,1994
07/03/94,26.97786481,27.06785102,26.97786481,27.03185654,539800,7,0,10,3,1994
08/03/94,27.04985268,27.04985268,26.88787751,26.92387199,880300,8,1,10,3,1994
09/03/94,26.95985857,27.06784198,26.83387792,27.04984474,2500100,9,2,10,3,1994
10/03/94,27.03185099,27.03185099,26.74389519,26.83388138,207400,10,3,10,3,1994
11/03/94,26.86987797,27.01385588,26.72590006,26.9778614,576600,11,4,10,3,1994
14/03/94,27.08584202,27.08584202,26.9778586,27.01385307,345900,14,0,11,3,1994
15/03/94,27.06786532,27.12185707,26.97787906,26.99587631,748600,15,1,11,3,1994
16/03/94,27.03184066,27.21181297,26.94185451,27.21181297,455500,16,2,11,3,1994
17/03/94,27.12182682,27.24780743,27.12182682,27.21181297,133000,17,3,11,3,1994
18/03/94,27.07917755,27.24208704,27.0610765,27.20588493,365500,18,4,11,3,1994
21/03/94,27.11537139,27.18777559,27.06106825,27.13347244,324800,21,0,12,3,1994
22/03/94,27.13348072,27.2601881,27.07917755,27.20588493,435700,22,1,12,3,1994
23/03/94,27.18778801,27.26019224,27.16968695,27.18778801,698500,23,2,12,3,1994
24/03/94,27.07918553,27.13348871,26.73526539,26.86197281,1200500,24,3,12,3,1994
25/03/94,26.88006493,26.95246914,26.60854912,26.60854912,100900,25,4,12,3,1994
28/03/94,26.64476204,26.68096416,26.40944824,26.64476204,1117200,28,0,13,3,1994
29/03/94,26.6447424,26.66284345,26.11981201,26.11981201,338400,29,1,13,3,1994
30/03/94,26.13792901,26.21033325,25.75780678,25.75780678,1123900,30,2,13,3,1994
31/03/94,25.7578036,25.88451099,25.2147719,25.83020782,788800,31,3,13,3,1994
